Key,Id,English(en),French(fr),German(de),Portuguese(pt),Russian(ru),Spanish(es)
"aunt",19540900777984,,,,,,
"drums",19814969184256,,,,,,
"machhiato",19832102916096,,,,,,
"london",19882723971072,,,,,,
"toronto",19901887746048,,,,,,
"teacher",19921538060288,,,,,,
"parents",19939527430144,,,,,,
"cortado",19960037576704,,,,,,
"americano",19989162823680,,,,,,
"cappuccino",20009589084160,,,,,,
"chicago",20031646928896,,,,,,
"child",20054967259136,,,,,,
"guitar",20280511762432,,,,,,
"brother",20301567168512,,,,,,
"chef",20327076925440,,,,,,
"corn dog",20367514210304,,,,,,
"fries",20421578788864,,,,,,
"violin",20444563574784,,,,,,
"doctor",20468815040512,,,,,,
"beijing",20507130007552,,,,,,
"clarinet",20585555103744,,,,,,
"summer",20619780624384,,,,,,
"laptop",20632225124352,,,,,,
"ocean",20652571693056,,,,,,
"battery",20671513169920,,,,,,
"spring",20689053749248,,,,,,
"river",21272011673600,,,,,,
"headphone",21333219151872,,,,,,
"pond",21357361565696,,,,,,
"phone",21370682675200,,,,,,
"winter",21397949845504,,,,,,
"autumn",21424222965760,,,,,,
"lake",21444926050304,,,,,,
